algorithm,security_level
mldsa65,L3
mldsa87,L5
mldsa44,L2
falcon512,L1
falcon1024,L5
mayo1,L1
mayo2,L1
mayo3,L3
mayo5,L5
OV_Is_pkc,L1
OV_Ip_pkc,L1
OV_III_pkc,L3
OV_V_pkc,L5
snova2454,L1
snova37172,L1
snova2455,L3
snova2965,L5
slhdsasha2128s,L1
slhdsasha2128f,L1
slhdsasha2192s,L3
slhdsasha2192f,L3
slhdsasha2256s,L5
slhdsasha2256f,L5
slhdsashake128s,L1
slhdsashake128f,L1
slhdsashake192s,L3
slhdsashake192f,L3
slhdsashake256s,L5
slhdsashake256f,L5
mqom2cat1gf16fastr5,L1
mqom2cat3gf16fastr5,L3
mqom2cat5gf16fastr5,L5
faest128s,L1
faest128f,L1
faest192s,L3
faest192f,L3
faest256s,L5
faest256f,L5
hawk512,L1
hawk1024,L5
qruov1q7l10v740m100,L1
qruov3q7l10v1100m140,L3
qruov5q7l10v1490m190,L5
sdithhypercubecat1gf256,L1
sdithhypercubecat3gf256,L3
sdithhypercubecat5gf256,L5
sdiththresholdcat1gf256,L1
sdiththresholdcat3gf256,L3
sdiththresholdcat5gf256,L5
